Day,Month,Year,Plate,Day,Well,Alive,Molted
21,September,2019,20-09-19 A(H),1,A1,1,1
21,September,2019,20-09-19 A(H),1,A2,1,0
21,September,2019,20-09-19 A(H),1,A3,1,0
21,September,2019,20-09-19 A(H),1,A4,1,0
21,September,2019,20-09-19 A(H),1,B1,1,0
21,September,2019,20-09-19 A(H),1,B2,1,1
21,September,2019,20-09-19 A(H),1,B3,1,0
21,September,2019,20-09-19 A(H),1,B4,0,0
21,September,2019,20-09-19 A(H),1,C1,1,0
21,September,2019,20-09-19 A(H),1,C2,1,0
21,September,2019,20-09-19 A(H),1,C3,1,0
21,September,2019,20-09-19 A(H),1,C4,1,0
21,September,2019,20-09-19 B(H),1,A1,1,0
21,September,2019,20-09-19 B(H),1,A2,1,0
21,September,2019,20-09-19 B(H),1,A3,1,0
21,September,2019,20-09-19 B(H),1,A4,1,0
21,September,2019,20-09-19 B(H),1,B1,1,0
21,September,2019,20-09-19 B(H),1,B2,1,0
21,September,2019,20-09-19 B(H),1,B3,1,0
21,September,2019,20-09-19 B(H),1,B4,1,0
21,September,2019,20-09-19 B(H),1,C1,1,0
21,September,2019,20-09-19 B(H),1,C2,1,0
21,September,2019,20-09-19 B(H),1,C3,1,0
21,September,2019,20-09-19 B(H),1,C4,1,0
21,September,2019,20-09-19 C(L),1,A1,1,0
21,September,2019,20-09-19 C(L),1,A2,1,0
21,September,2019,20-09-19 C(L),1,A3,1,0
21,September,2019,20-09-19 C(L),1,A4,1,0
21,September,2019,20-09-19 C(L),1,B1,1,0
21,September,2019,20-09-19 C(L),1,B2,1,0
21,September,2019,20-09-19 C(L),1,B3,1,0
21,September,2019,20-09-19 C(L),1,B4,1,0
21,September,2019,20-09-19 C(L),1,C1,1,0
21,September,2019,20-09-19 C(L),1,C2,1,0
21,September,2019,20-09-19 C(L),1,C3,1,0
21,September,2019,20-09-19 C(L),1,C4,1,0
21,September,2019,20-09-19 D(L),1,A1,1,0
21,September,2019,20-09-19 D(L),1,A2,1,0
21,September,2019,20-09-19 D(L),1,A3,1,0
21,September,2019,20-09-19 D(L),1,A4,1,0
21,September,2019,20-09-19 D(L),1,B1,1,0
21,September,2019,20-09-19 D(L),1,B2,0,0
21,September,2019,20-09-19 D(L),1,B3,1,0
21,September,2019,20-09-19 D(L),1,B4,1,0
21,September,2019,20-09-19 D(L),1,C1,1,0
21,September,2019,20-09-19 D(L),1,C2,1,0
21,September,2019,20-09-19 D(L),1,C3,1,0
21,September,2019,20-09-19 D(L),1,C4,1,0
22,September,2019,20-09-19 A(H),2,A1,1,0
22,September,2019,20-09-19 A(H),2,A2,1,1
22,September,2019,20-09-19 A(H),2,A3,1,0
22,September,2019,20-09-19 A(H),2,A4,1,0
22,September,2019,20-09-19 A(H),2,B1,1,0
22,September,2019,20-09-19 A(H),2,B2,1,0
22,September,2019,20-09-19 A(H),2,B3,1,0
22,September,2019,20-09-19 A(H),2,B4,1,1
22,September,2019,20-09-19 A(H),2,C1,1,0
22,September,2019,20-09-19 A(H),2,C2,1,0
22,September,2019,20-09-19 A(H),2,C3,1,1
22,September,2019,20-09-19 A(H),2,C4,1,1
22,September,2019,20-09-19 B(H),2,A1,1,0
22,September,2019,20-09-19 B(H),2,A2,1,1
22,September,2019,20-09-19 B(H),2,A3,1,0
22,September,2019,20-09-19 B(H),2,A4,1,0
22,September,2019,20-09-19 B(H),2,B1,1,0
22,September,2019,20-09-19 B(H),2,B2,1,0
22,September,2019,20-09-19 B(H),2,B3,1,1
22,September,2019,20-09-19 B(H),2,B4,1,0
22,September,2019,20-09-19 B(H),2,C1,1,0
22,September,2019,20-09-19 B(H),2,C2,1,0
22,September,2019,20-09-19 B(H),2,C3,1,0
22,September,2019,20-09-19 B(H),2,C4,1,0
22,September,2019,20-09-19 C(L),2,A1,1,0
22,September,2019,20-09-19 C(L),2,A2,1,0
22,September,2019,20-09-19 C(L),2,A3,1,0
22,September,2019,20-09-19 C(L),2,A4,1,0
22,September,2019,20-09-19 C(L),2,B1,1,0
22,September,2019,20-09-19 C(L),2,B2,1,1
22,September,2019,20-09-19 C(L),2,B3,1,0
22,September,2019,20-09-19 C(L),2,B4,1,0
22,September,2019,20-09-19 C(L),2,C1,1,0
22,September,2019,20-09-19 C(L),2,C2,1,0
22,September,2019,20-09-19 C(L),2,C3,1,0
22,September,2019,20-09-19 C(L),2,C4,1,0
22,September,2019,20-09-19 D(L),2,A1,1,0
22,September,2019,20-09-19 D(L),2,A2,1,0
22,September,2019,20-09-19 D(L),2,A3,1,0
22,September,2019,20-09-19 D(L),2,A4,1,0
22,September,2019,20-09-19 D(L),2,B1,1,0
22,September,2019,20-09-19 D(L),2,B2,0,0
22,September,2019,20-09-19 D(L),2,B3,1,1
22,September,2019,20-09-19 D(L),2,B4,1,0
22,September,2019,20-09-19 D(L),2,C1,1,0
22,September,2019,20-09-19 D(L),2,C2,1,0
22,September,2019,20-09-19 D(L),2,C3,1,0
22,September,2019,20-09-19 D(L),2,C4,0,0
23,September,2019,20-09-19 A(H),3,A1,1,0
23,September,2019,20-09-19 A(H),3,A2,1,0
23,September,2019,20-09-19 A(H),3,A3,1,1
23,September,2019,20-09-19 A(H),3,A4,1,0
23,September,2019,20-09-19 A(H),3,B1,1,0
23,September,2019,20-09-19 A(H),3,B2,1,0
23,September,2019,20-09-19 A(H),3,B3,0,0
23,September,2019,20-09-19 A(H),3,B4,1,0
23,September,2019,20-09-19 A(H),3,C1,1,1
23,September,2019,20-09-19 A(H),3,C2,0,0
23,September,2019,20-09-19 A(H),3,C3,1,0
23,September,2019,20-09-19 A(H),3,C4,1,1
23,September,2019,20-09-19 B(H),3,A1,1,0
23,September,2019,20-09-19 B(H),3,A2,1,0
23,September,2019,20-09-19 B(H),3,A3,1,0
23,September,2019,20-09-19 B(H),3,A4,1,0
23,September,2019,20-09-19 B(H),3,B1,1,0
23,September,2019,20-09-19 B(H),3,B2,1,0
23,September,2019,20-09-19 B(H),3,B3,1,1
23,September,2019,20-09-19 B(H),3,B4,1,0
23,September,2019,20-09-19 B(H),3,C1,1,0
23,September,2019,20-09-19 B(H),3,C2,1,0
23,September,2019,20-09-19 B(H),3,C3,1,1
23,September,2019,20-09-19 B(H),3,C4,1,1
23,September,2019,20-09-19 C(L),3,A1,1,1
23,September,2019,20-09-19 C(L),3,A2,1,0
23,September,2019,20-09-19 C(L),3,A3,1,1
23,September,2019,20-09-19 C(L),3,A4,1,0
23,September,2019,20-09-19 C(L),3,B1,1,0
23,September,2019,20-09-19 C(L),3,B2,1,1
23,September,2019,20-09-19 C(L),3,B3,1,0
23,September,2019,20-09-19 C(L),3,B4,0,0
23,September,2019,20-09-19 C(L),3,C1,1,0
23,September,2019,20-09-19 C(L),3,C2,1,0
23,September,2019,20-09-19 C(L),3,C3,1,0
23,September,2019,20-09-19 C(L),3,C4,1,0
23,September,2019,20-09-19 D(L),3,A1,1,0
23,September,2019,20-09-19 D(L),3,A2,1,0
23,September,2019,20-09-19 D(L),3,A3,1,1
23,September,2019,20-09-19 D(L),3,A4,0,0
23,September,2019,20-09-19 D(L),3,B1,1,0
23,September,2019,20-09-19 D(L),3,B2,1,0
23,September,2019,20-09-19 D(L),3,B3,1,1
23,September,2019,20-09-19 D(L),3,B4,1,0
23,September,2019,20-09-19 D(L),3,C1,1,0
23,September,2019,20-09-19 D(L),3,C2,1,0
23,September,2019,20-09-19 D(L),3,C3,1,0
23,September,2019,20-09-19 D(L),3,C4,0,0
24,September,2019,20-09-19 A(H),4,A1,0,0
24,September,2019,20-09-19 A(H),4,A2,0,0
24,September,2019,20-09-19 A(H),4,A3,0,0
24,September,2019,20-09-19 A(H),4,A4,0,0
24,September,2019,20-09-19 A(H),4,B1,1,1
24,September,2019,20-09-19 A(H),4,B2,0,0
24,September,2019,20-09-19 A(H),4,B3,0,0
24,September,2019,20-09-19 A(H),4,B4,0,0
24,September,2019,20-09-19 A(H),4,C1,1,0
24,September,2019,20-09-19 A(H),4,C2,0,0
24,September,2019,20-09-19 A(H),4,C3,0,0
24,September,2019,20-09-19 A(H),4,C4,0,0
24,September,2019,20-09-19 B(H),4,A1,0,0
24,September,2019,20-09-19 B(H),4,A2,0,0
24,September,2019,20-09-19 B(H),4,A3,0,0
24,September,2019,20-09-19 B(H),4,A4,0,0
24,September,2019,20-09-19 B(H),4,B1,0,0
24,September,2019,20-09-19 B(H),4,B2,0,0
24,September,2019,20-09-19 B(H),4,B3,0,0
24,September,2019,20-09-19 B(H),4,B4,0,0
24,September,2019,20-09-19 B(H),4,C1,0,0
24,September,2019,20-09-19 B(H),4,C2,0,0
24,September,2019,20-09-19 B(H),4,C3,0,0
24,September,2019,20-09-19 B(H),4,C4,0,0
24,September,2019,20-09-19 C(L),4,A1,1,1
24,September,2019,20-09-19 C(L),4,A2,1,0
24,September,2019,20-09-19 C(L),4,A3,1,1
24,September,2019,20-09-19 C(L),4,A4,1,0
24,September,2019,20-09-19 C(L),4,B1,1,0
24,September,2019,20-09-19 C(L),4,B2,1,0
24,September,2019,20-09-19 C(L),4,B3,1,1
24,September,2019,20-09-19 C(L),4,B4,0,0
24,September,2019,20-09-19 C(L),4,C1,1,0
24,September,2019,20-09-19 C(L),4,C2,1,1
24,September,2019,20-09-19 C(L),4,C3,1,1
24,September,2019,20-09-19 C(L),4,C4,1,1
24,September,2019,20-09-19 D(L),4,A1,0,0
24,September,2019,20-09-19 D(L),4,A2,0,0
24,September,2019,20-09-19 D(L),4,A3,0,0
24,September,2019,20-09-19 D(L),4,A4,0,0
24,September,2019,20-09-19 D(L),4,B1,0,0
24,September,2019,20-09-19 D(L),4,B2,0,0
24,September,2019,20-09-19 D(L),4,B3,0,0
24,September,2019,20-09-19 D(L),4,B4,0,0
24,September,2019,20-09-19 D(L),4,C1,0,0
24,September,2019,20-09-19 D(L),4,C2,0,0
24,September,2019,20-09-19 D(L),4,C3,0,0
24,September,2019,20-09-19 D(L),4,C4,0,0
